ID,Activity,Priority,Day,Month,Year,Hours,Minute
1412202013575,ddsfsfsdfsdf,Important And Hurry,6,12,2020,15,57
1412202013575,ddsfsfsdfsdf,Important And Hurry,12,12,2020,15,57
1412202013575,ddsfsfsdfsdf,Important And Hurry,12,12,2020,15,54
1412202013575,ddsfsfsdfsdf,Important And Hurry,12,12,2020,15,54
14122020141410,fadsasdasd,4,600,12,2020,14,14
14122020141535,sdfsdfsdf,4,12,12,2020,14,15
1412202014315,;l;l;;l,Important But Slowly,1,12,2020,14,31
14122020191636,,4,600,12,2020,19,16
14122020191739,,4,600,12,2020,19,17
14122020191914,asdsad,4,4,12,2020,19,19
1512202021917,,4,600,12,2020,2,19
1512202023713,sdfsdf,4,600,12,2020,2,37
1512202023713,sdfsdfsdf,4,600,12,2020,2,37
1512202023713,sdfsdfsdf,4,600,12,2020,2,37
1512202023713,sdfsdfsdfsdf,4,600,12,2020,2,37
1512202023713,sdfsfdsdfsdf,4,600,12,2020,2,37
1512202023918,fsdfsdf,4,600,12,2020,2,39
1512202023947,sdfsdfsdfsdf,4,600,12,2020,2,39
1512202023947,Read,4,600,12,2020,2,39
1512202023947,sdfsdfsdfsdf,4,600,12,2020,2,39
1512202023947,Read,4,600,12,2020,2,39
15122020122524,Read,4,600,12,2020,12,25
15122020122524,Write,Important But Slowly,600,12,2020,12,25
15122020122524,Read,Important And Hurry,600,12,2020,12,25
15122020122524,Re,4,600,12,2020,12,25
15122020122524,Wrt,Unimportant But Slowly,600,12,2020,12,25
15122020122524,wrwerwerwerwer,Important And Hurry,600,12,2020,12,27
15122020122832,Wru,4,600,12,2020,12,28
15122020122832,rtertertert,4,600,12,2020,12,28
15122020122832,ertertertert,4,600,12,2020,12,28
15122020122832,tertertert,4,600,12,2020,12,28
15122020123011,Read,Important But Slowly,600,12,2020,12,30
15122020123011,Wrie,4,600,12,2020,12,30
15122020123011,run,4,600,12,2020,12,30
1512202012313,Hell,Important But Slowly,600,12,2020,12,31
15122020123739,sdfsdfsdf,4,600,12,2020,12,37
15122020123739,tertertert,4,600,12,2020,12,37
15122020123852,Ter,Important But Slowly,600,12,2020,12,38
15122020123852,888,4,600,12,2020,12,38
151220201240431,terwert,4,600,12,2020,12,40
151220201240432,ertertert,4,600,12,2020,12,40
151220201240433,ertertertert,4,600,12,2020,12,40
151220201240434,ertertert,4,3,12,2020,12,40
151220201240435,ertertert,4,3,12,2020,12,40
151220201241461,werwerwer,4,3,12,2020,12,41
151220201241462,วันพ่อตาย,Important And Hurry,16,12,2020,0,0
151220201245311,กินข้าว ,Important And Hurry,18,12,2020,13,0
151220201247201,sdfsdfsdfsdfsdf,4,27,12,2020,12Lae tor,47
15122020135351,,4,3,12,2020,13,5
1512202013761,,4,5,12,2020,13,7
1512202013762,2,4,5,12,2020,13,7
1512202013763,3,4,5,12,2020,13,7

